product_url,product_name,product_category_tree,pid,retail_price,discounted_price,Date
http://www.flipkart.com/carlton-london-boots/p/itmecbn3h6qmbfqs?pid=SHOECBN4QGZECV6F,Carlton London Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECBN4QGZECV6F,1995,1995,01-11-2022
http://www.flipkart.com/skmei-ad1057-dark-orange-sports-analog-digital-watch-men-boys/p/itme9mvxh2zhxrfk?pid=WATE9MVXHMTCFZSP,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Skmei Wrist Watches""]",WATE9MVXHMTCFZSP,1799,1199,01-11-2022
http://www.flipkart.com/urban-country-ladies-boots/p/itmefhp6bpck3hua?pid=SHOEFHP6DMKFTPHQ,Urban Country Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEFHP6DMKFTPHQ,3299,1650,01-11-2022
http://www.flipkart.com/now-sp-ethnic-analog-watch-boys/p/itmecdb6hydv8da9?pid=WATECDB6HPXBVXCF,Now SP-ETHNIC Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Now Wrist Watches""]",WATECDB6HPXBVXCF,600,600,01-11-2022
http://www.flipkart.com/disney-msfr190-01b-analog-watch-boys-girls/p/itmdqzghdftyu2nc?pid=WATDQZGHD8QYYXTQ,"Disney MSFR190-01B Analog Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Disney Wrist Watches""]",WATDQZGHD8QYYXTQ,1350,1350,01-11-2022
http://www.flipkart.com/get-glamr-designer-yuvu-boots/p/itmec8qgef4qqmyx?pid=SHOEC8QGMZ3UJFTG,Get Glamr Designer Yuvu Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEC8QGMZ3UJFTG,3499,2799,01-11-2022
http://www.flipkart.com/kielz-boots/p/itmecs7dqbqzt7yh?pid=SHOECS7GMGV2HHYE,Kielz Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECS7GMGV2HHYE,2499,2399,01-11-2022
http://www.flipkart.com/belle-gambe-boots/p/itmec9fny2rvu2uq?pid=SHOEC9FZZGGADEFJ,Belle Gambe Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEC9FZZGGADEFJ,3999,1765,01-11-2022
http://www.flipkart.com/remson-india-boots/p/itmecxzepjpzcpyy?pid=SHOECXZEHUBBZYJV,Remson India Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECXZEHUBBZYJV,3999,1999,01-11-2022
http://www.flipkart.com/steppings-trendy-boots/p/itme96vesg4aqv7g?pid=SHOE2FQCMD3TAYMF,Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE2FQCMD3TAYMF,1599,639,01-11-2022
http://www.flipkart.com/jacques-farel-kwd2324-analog-watch-boys/p/itmdukhhh4sqxdak?pid=WATDUKHHH4SQXDAK,Jacques Farel KWD2324 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Jacques Farel Wrist Watches""]",WATDUKHHH4SQXDAK,2850,1567,01-11-2022
http://www.flipkart.com/rialto-boots/p/itmedd2hba75u3y7?pid=SHOEDD2H6ZHT9YNQ,Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEDD2H6ZHT9YNQ,2795,1800,01-11-2022
http://www.flipkart.com/salt-n-pepper-13-455-pisa-black-boots/p/itmdumfym7xj2ynx?pid=SHODUMFYWTPDYNX6,Salt N Pepper 13-455 Pisa Black Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHODUMFYWTPDYNX6,4995,3746,01-11-2022
http://www.flipkart.com/oxter-chrono-blue-italia-analog-watch-men-boys/p/itmecvgyadqw6v2g?pid=WATECVGYJXPGREKD,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Oxter Wrist Watches""]",WATECVGYJXPGREKD,999,299,01-11-2022
http://www.flipkart.com/klaur-melbourne-boots/p/itmebfywxcrjtngt?pid=SHOEBFYWECAPUEXE,Klaur Melbourne Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOEBFYWECAPUEXE,3499,1574,01-11-2022
http://www.flipkart.com/positif-pfbk612-analog-watch-men-boys/p/itmedfzpcxhhtdfg?pid=WATEDFZPGGZG8HGM,"Positif Pfbk612 Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Positif Wrist Watches""]",WATEDFZPGGZG8HGM,1100,800,01-11-2022
http://www.flipkart.com/selfie-boots/p/itmecswqwpgqfhzc?pid=SHOECV4SKFKBN8QQ,Selfie Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOECV4SKFKBN8QQ,1200,599,01-11-2022
http://www.flipkart.com/d-signer-688rgm-brn-analog-watch-men-boys/p/itmebfpxg9mkhjwb?pid=WATEBFPXFYMWJGJZ,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> D'SIGNER Wrist Watches""]",WATEBFPXFYMWJGJZ,8995,8545,01-11-2022
http://www.flipkart.com/salt-n-pepper-13-019-femme-taupe-boots/p/itme6zqdhned96pf?pid=SHOE6ZQFRGNTW8JX,Salt N Pepper 13-019 Femme Taupe Boots Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE6ZQFRGNTW8JX,4195,2050,01-11-2022
http://www.flipkart.com/franck-bella-fb127a-analog-watch-boys-men/p/itmebd3fbfghgmwn?pid=WATEBD3FJNXFXSBH,"Franck Bella FB127A Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Franck Bella Wrist Watches""]",WATEBD3FJNXFXSBH,1250,999,01-11-2022
http://www.flipkart.com/get-glamr-stylish-boots/p/itme3urgcjtwjfy6?pid=SHOE3URGYEVZ55GD,Get Glamr Stylish Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",SHOE3URGYEVZ55GD,1999,499,01-11-2022
http://www.flipkart.com/felix-3541-w-s-metal-analog-watch-boys-girls/p/itmeb5ezx3vuqyym?pid=WATEB5EZRN3NYXAG,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Felix Wrist Watches""]",WATEB5EZRN3NYXAG,1350,555,01-11-2022
